Linea : 8 Error  en Codigod Repetido  incorrecto
Linea : 15 Error  en id Repetido  incorrecto
Linea : 24 Error  en Codigod Repetido  incorrecto
Linea : 27 Error  en Codigod Repetido  incorrecto
Linea : 29 Error  en Codigod Repetido  incorrecto
Linea : 31 Error  en Codigod Repetido  incorrecto
Linea : 35 Error  en Codigod Repetido  incorrecto
Linea : 37 Error  en Codigod Repetido  incorrecto
Linea : 40 Error  en Codigod Repetido  incorrecto
Linea : 43 Error  en Codigod Repetido  incorrecto
Linea : 45 Error  en Codigod Repetido  incorrecto
Linea : 47 Error  en Codigod Repetido  incorrecto
Linea : 49 Error  en Codigod Repetido  incorrecto
Linea : 51 Error  en Codigod Repetido  incorrecto
Linea : 54 Error  en Codigod Repetido  incorrecto
Linea : 56 Error  en Codigod Repetido  incorrecto
Linea : 59 Error  en Codigod Repetido  incorrecto
Linea : 61 Error  en Codigod Repetido  incorrecto
Linea : 63 Error  en Codigod Repetido  incorrecto
Linea : 70 Error  en Codigod Repetido  incorrecto
 REPORET DE LOG Alumnos
Fecha / Hora Sun Jun 13 15:22:38 CST 2021
